UnitID,SerialNo,Class,Site,Component,SuppressionGroup,SuppressionLifeUsed,Suppression%,CurrentUsage,CurrentLifeUsed,CurrentUOM,Current,NextChangeoutUsage,NextChangeoutLifeUsed,NextChangeoutDate,Overdue,LastChangeoutDetailsWorkorder,LastChangeoutDetailsUsage,LastChangeoutDetailsLifeUsed,LastChangeoutDetailsDate
200,4AR00371,793C,SiteB,1000.00.CC.0 ENGINE,B1,"6,085",41%,"98,211","6,085",Eng - Hrs,41%,"107,126","15,000",6-Feb-17,,KG83941-01,"92,126","14,974",14-Apr-14
200,4AR00371,793C,SiteB,1355.00.CC.0 THERMOSTAT/WATER TEMPERATURE REGULATOR,B2,"6,085",81%,"98,211","7,776",Eng - Hrs,85%,"99,626","9,191",22-Aug-15,,,"92,126",,14-Apr-14
200,4AR00371,793C,SiteB,1405.00.CC.0 ALTERNATOR,B2,"1,717",23%,"98,211","1,717",Eng - Hrs,23%,"103,994","7,500",28-Jun-16,,KH17617-01,"96,494","5,866",4-Feb-15
200,4AR00371,793C,SiteB,1802.00.CC.0 REFRIGERANT COMPRESSOR,B2,61,17%,"1,567",61,Days,6%,"2,568","1,062",6-Feb-18,,KH19644-01,"1,506",7,12-Mar-15
200,4AR00371,793C,SiteB,7312.00.CC.0 OPERATOR SEAT,C1,"1,440",24%,"98,211","1,440",Eng - Hrs,24%,"102,771","6,000",2-Apr-16,,KH18359-01,"96,771","4,645",18-Feb-15
200,4AR00371,793C,SiteB,7327.00.CC.0 SEAT BELTS,C2,"1,440",48%,"98,211","3,445",Eng - Hrs,69%,"99,771","5,005",1-Sep-15,,,"96,771",,18-Feb-15
200,4AR00371,793C,SiteB,3253.00.CC.0 DRIVESHAFT,D1,"9,728",81%,"98,211","9,728",Eng - Hrs,81%,"100,483","12,000",22-Oct-15,,KG75568-01,"88,483","16,474",25-Jul-13
200,4AR00371,793C,SiteB,3251.00.CC.0 UNIVERSAL JOINT,D2,"2,921",49%,"98,211","2,921",Eng - Hrs,26%,"106,483","11,193",22-Dec-16,,KH13831-01,"95,290","4,622",23-Nov-14
200,4AR00371,793C,SiteB,4307.00.CC.0 STEERING VALVE,S1,"34,773",116%,"98,211","34,773",Eng - Hrs,99%,"98,697","35,259",17-Jun-15,,,"63,438",,27-Jan-11
200,4AR00371,793C,SiteB,4307.00.RS.0 STEERING VALVE,S2,"34,773",232%,"98,211","34,773",Eng - Hrs,99%,"98,697","35,259",17-Jun-15,,,"63,438",,27-Jan-11
200,4AR00371,793C,SiteB,1000.00.GR.0 ENGINE,,,,"98,211",76,Eng - Hrs,30%,"98,385",250,25-May-15,,KH23060-01,"98,135",278,8-May-15
200,4AR00371,793C,SiteB,1050.00.GR.0 AIR INDUCTION & EXHAUST SYSTEM,,,,"98,211",104,Eng - Hrs,42%,"98,357",250,23-May-15,,KH22898-01,"98,107","3,341",6-May-15
200,4AR00371,793C,SiteB,1052.LF.CC.0 TURBOCHARGER,,,,"98,211","25,281",Eng - Hrs,85%,"102,780","29,850",2-Apr-16,,AMTKG18637,"72,930",0,27-Jan-11
200,4AR00371,793C,SiteB,1052.LR.CC.0 TURBOCHARGER,,,,"98,211","25,281",Eng - Hrs,85%,"102,780","29,850",2-Apr-16,,AMTKG18639,"72,930",0,27-Jan-11
200,4AR00371,793C,SiteB,1052.RF.CC.0 TURBOCHARGER,,,,"98,211","16,098",Eng - Hrs,81%,"102,063","19,950",11-Feb-16,,KG52464-01,"82,113","9,182",3-Jul-12
200,4AR00371,793C,SiteB,1052.RR.CC.0 TURBOCHARGER,,,,"98,211","25,281",Eng - Hrs,85%,"102,780","29,850",2-Apr-16,,AMTKG18638,"72,930",0,27-Jan-11
200,4AR00371,793C,SiteB,1054.IN.CC.0 AIR FILTER ELEMENT,,,,"98,211",609,Eng - Hrs,61%,"98,602","1,000",10-Jun-15,,KH21191-01,"97,602","1,108",6-Apr-15
200,4AR00371,793C,SiteB,1054.OU.CC.0 AIR FILTER ELEMENT,,,,"98,211",104,Eng - Hrs,21%,"98,607",500,10-Jun-15,,KH22896-01,"98,107",505,6-May-15
200,4AR00371,793C,SiteB,1062.00.GR.0 MUFFLER,,,,"98,211","27,869",Eng - Hrs,56%,"120,342","50,000",6-Sep-19,,,"70,342",,3-Sep-10
200,4AR00371,793C,SiteB,1100.00.GR.0 CYLINDER HEAD ASSEMBLY,,,,"98,211","98,211",Eng - Hrs,99%,"99,530","99,530",15-Aug-15,,,0,,27-Jan-11
